code
600000.SH
600009.SH
600010.SH
600011.SH
600015.SH
600016.SH
600018.SH
600019.SH
600028.SH
600030.SH
600031.SH
600036.SH
600048.SH
600050.SH
600089.SH
600104.SH
600111.SH
600150.SH
600276.SH
600309.SH
600346.SH
600406.SH
600436.SH
600438.SH
600519.SH
600547.SH
600570.SH
600585.SH
600588.SH
600600.SH
600690.SH
600745.SH
600760.SH
600795.SH
600837.SH
600887.SH
600893.SH
600900.SH
601006.SH
601088.SH
601166.SH
601211.SH
601288.SH
601318.SH
601328.SH
601398.SH
601601.SH
601668.SH
601688.SH
601857.SH
601888.SH
601899.SH
601919.SH
601988.SH
601989.SH
000001.SZ
000002.SZ
000063.SZ
000100.SZ
000157.SZ
000166.SZ
000333.SZ
000338.SZ
000425.SZ
000538.SZ
000568.SZ
000596.SZ
000625.SZ
000651.SZ
000661.SZ
000725.SZ
000768.SZ
000776.SZ
000858.SZ
000876.SZ
000895.SZ
000938.SZ
000963.SZ
001979.SZ
002027.SZ
002049.SZ
002050.SZ
002129.SZ
002142.SZ
002179.SZ
002230.SZ
002236.SZ
002241.SZ
002304.SZ
002311.SZ
002352.SZ
002371.SZ
002415.SZ
002475.SZ
002493.SZ
002594.SZ
002601.SZ
002714.SZ
002736.SZ
002812.SZ
002916.SZ
